iter	Passed	Remaining
485	608	643
486	609	642
487	610	640
488	611	639
489	612	637
490	613	635
491	616	636
492	617	634
493	617	632
494	618	631
495	619	629
496	620	628
497	621	626
498	622	625
499	623	623
500	624	621
501	625	620
502	625	618
503	626	616
504	627	614
505	628	613
506	630	612
507	631	611
508	631	609
509	632	607
510	633	606
511	634	604
512	635	603
513	636	601
514	637	600
515	638	598
516	638	596
517	639	595
518	640	593
519	641	591
520	642	590
521	642	588
522	645	588
523	646	587
524	647	585
525	647	583
526	648	582
527	649	580
528	649	578
529	650	577
530	651	575
531	652	573
532	652	571
533	653	570
534	654	568
535	654	566
536	655	565
537	656	563
538	656	561
539	657	560
540	660	560
541	661	558
542	662	557
543	662	555
544	663	554
545	664	552
546	665	551
547	666	549
548	667	547
549	667	546
550	668	544
551	669	543
552	670	541
553	670	540
554	671	538
555	672	536
556	672	535
557	674	534
558	675	533
559	676	531
560	677	530
561	678	528
562	678	527
563	679	525
564	680	523
565	681	522
566	681	520
567	682	519
568	683	517
569	683	515
570	684	514
571	685	512
572	686	511
573	687	509
574	689	509
575	690	508
576	691	506
577	692	505
578	693	503
579	693	502
580	694	501
581	695	499
582	696	498
583	697	496
584	698	495
585	698	493
586	699	492
587	700	491
588	701	489
589	704	489
590	705	488
591	706	486
592	708	486
593	709	485
594	710	483
595	711	482
596	712	481
597	713	479
598	714	478
599	715	476
600	716	475
601	717	474
602	719	473
603	720	472
604	721	471
605	722	469
606	723	468
607	724	467
608	725	465
609	726	464
610	727	462
611	728	461
612	728	460
613	729	458
614	730	457
615	731	456
616	733	455
617	735	454
618	735	452
619	736	451
620	737	450
621	738	448
622	739	447
623	740	446
624	741	444
625	742	443
626	743	442
627	743	440
628	744	439
629	745	437
630	746	436
631	747	435
632	749	434
633	749	432
634	750	431
635	751	430
636	752	428
637	753	427
638	754	426
639	755	424
640	756	423
641	756	422
642	757	420
643	758	419
644	760	418
645	761	417
646	763	416
647	764	415
648	765	414
649	766	412
650	767	411
651	768	410
652	769	408
653	770	407
654	771	406
655	772	404
656	772	403
657	773	402
658	774	400
659	775	399
660	776	398
661	778	397
662	779	396
663	780	394
664	781	393
665	782	392
666	783	390
667	783	389
668	784	388
669	785	386
670	786	385
671	787	384
672	788	383
673	789	381
674	789	380
675	790	379
676	793	378
677	794	377
678	795	375
679	796	374
680	797	373
681	798	372
682	799	370
683	799	369
684	800	368
685	801	366
686	802	365
687	803	364
688	804	362
689	804	361
690	805	360
691	807	359
692	808	358
693	809	356
694	810	355
695	811	354
696	811	352
697	812	351
698	813	350
699	814	349
700	815	347
701	816	346
702	817	345
703	818	344
704	819	342
705	820	341
706	822	340
707	823	339
708	824	338
709	825	337
710	826	335
711	827	334
712	827	333
713	828	332
714	829	330
715	830	329
716	831	328
717	831	326
718	832	325
719	833	324
720	834	322
721	834	321
722	835	320
723	837	319
724	838	317
725	839	316
726	839	315
727	840	314
728	841	312
729	842	311
730	843	310
731	844	309
732	844	307
733	845	306
734	846	305
735	847	303
736	848	302
737	849	301
738	851	300
739	852	299
740	853	298
741	854	296
742	854	295
743	855	294
744	856	293
745	857	291
746	857	290
747	858	289
748	859	287
749	860	286
750	861	285
751	861	284
752	862	283
753	863	281
754	864	280
755	867	279
756	868	278
757	869	277
758	870	276
759	871	275
760	872	273
761	872	272
762	873	271
763	874	270
764	875	269
765	876	267
766	877	266
767	878	265
768	879	264
769	882	263
770	883	262
771	884	261
772	885	259
773	886	258
774	886	257
775	887	256
776	888	254
777	889	253
778	889	252
779	890	251
780	891	250
781	892	248
782	893	247
783	894	246
784	897	245
785	900	245
786	901	244
787	902	242
788	903	241
789	905	240
790	906	239
791	907	238
792	908	237
793	908	235
794	909	234
795	911	233
796	912	232
797	913	231
798	914	229
799	914	228
800	915	227
801	916	226
802	917	225
803	918	223
804	919	222
805	920	221
806	921	220
807	922	219
808	923	217
809	925	217
810	926	215
811	927	214
812	928	213
813	929	212
814	930	211
815	931	210
816	932	208
817	933	207
818	934	206
819	935	205
820	936	204
821	937	202
822	938	201
823	940	200
824	941	199
825	942	198
826	943	197
827	944	196
828	945	194
829	945	193
830	946	192
831	947	191
832	948	190
833	949	188
834	950	187
835	951	186
836	951	185
837	952	184
838	955	183
839	956	182
840	957	180
841	958	179
842	959	178
843	960	177
844	961	176
845	962	175
846	963	173
847	964	172
848	965	171
849	966	170
850	967	169
851	968	168
852	969	167
853	970	165
854	971	164
855	972	163
856	973	162
857	975	161
858	976	160
859	977	159
860	978	157
861	979	156
862	979	155
863	980	154
864	981	153
865	984	152
866	985	151
867	985	149
868	986	148
869	987	147
870	988	146
871	989	145
872	990	144
873	991	142
874	992	141
875	993	140
876	994	139
877	995	138
878	996	137
879	999	136
880	1000	135
881	1001	133
882	1001	132
883	1002	131
884	1003	130
885	1004	129
886	1005	128
887	1006	126
888	1007	125
889	1008	124
890	1010	123
891	1011	122
892	1013	121
893	1014	120
894	1015	119
895	1016	118
896	1017	116
897	1018	115
898	1019	114
899	1020	113
900	1021	112
901	1022	111
902	1022	109
903	1023	108
904	1024	107
905	1026	106
906	1028	105
907	1029	104
908	1030	103
909	1031	101
910	1032	100
911	1032	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1037	93
917	1038	92
918	1039	91
919	1040	90
920	1043	89
921	1044	88
922	1045	87
923	1046	86
924	1047	84
925	1048	83
926	1049	82
927	1050	81
928	1051	80
929	1052	79
930	1053	78
931	1054	76
932	1054	75
933	1055	74
934	1058	73
935	1059	72
936	1060	71
937	1061	70
938	1062	69
939	1063	67
940	1063	66
941	1064	65
942	1065	64
943	1066	63
944	1067	62
945	1068	60
946	1068	59
947	1069	58
948	1070	57
949	1073	56
950	1074	55
951	1074	54
952	1075	53
953	1076	51
954	1077	50
955	1078	49
956	1079	48
957	1080	47
958	1080	46
959	1081	45
960	1082	43
961	1083	42
962	1084	41
963	1085	40
964	1088	39
965	1089	38
966	1090	37
967	1091	36
968	1092	34
969	1093	33
970	1094	32
971	1095	31
972	1096	30
973	1097	29
974	1097	28
975	1098	27
976	1099	25
977	1100	24
978	1103	23
979	1104	22
980	1105	21
981	1105	20
982	1106	19
983	1107	18
984	1108	16
985	1109	15
986	1110	14
987	1111	13
988	1112	12
989	1113	11
990	1114	10
991	1116	9
992	1118	7
993	1119	6
994	1120	5
995	1121	4
996	1122	3
997	1123	2
998	1123	1
999	1124	0
